"domain","site","plot","measurementLevel","sensorDepths","CVALA1","CVALA2","CVALA3","CVALR1","CVALR2","U_CVALA1","U_CVALA2","U_CVALA3","CVALO1","CVALS1","CVALS2","remarks","CVALC1"
1,"BART",1,1,-0.06,6.08049407095565,0.0457775102808195,-6.48595222303797,0.464661392022051,0.0750037261765108,0.0421043879995872,5.53519336930386e-05,0.0421043879995872,"n",20100101125959,NA,NA,20200921.145927
1,"BART",1,2,-0.16,0.159688519678472,0.445453674215159,-0.170044884954046,0.437715175365493,0.0479146991624425,0.038484262751813,5.03276289204149e-05,0.038484262751813,"n",20100101125959,NA,NA,20200921.145927
1,"BART",1,3,-0.26,2.78645242201166,0.0767070199988335,-3.0216353787799,0.426319337390191,0.0795870327859368,0.0286731102472443,5.9846106864982e-05,0.0286731102472443,"n",20100101125959,NA,NA,20200921.145927
1,"BART",1,4,-0.56,4.36126876381876,0.0541365092890673,-4.62521940379247,0.330902023181473,0.0769757556470842,0.0319841350551472,5.02686138244143e-05,0.0319841350551472,"n",20100101125959,NA,NA,20200921.145927
1,"BART",1,5,-0.96,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",1,6,-1.16,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",1,7,-1.66,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",1,8,-1.96,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,1,-0.06,6.08049407095565,0.0457775102808195,-6.48595222303797,0.464661392022051,0.0750037261765108,0.0421043879995872,5.53519336930386e-05,0.0421043879995872,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,2,-0.16,0.159688519678472,0.445453674215159,-0.170044884954046,0.437715175365493,0.0479146991624425,0.038484262751813,5.03276289204149e-05,0.038484262751813,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,3,-0.26,2.78645242201166,0.0767070199988335,-3.0216353787799,0.426319337390191,0.0795870327859368,0.0286731102472443,5.9846106864982e-05,0.0286731102472443,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,4,-0.56,4.36126876381876,0.0541365092890673,-4.62521940379247,0.330902023181473,0.0769757556470842,0.0319841350551472,5.02686138244143e-05,0.0319841350551472,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,5,-0.96,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,6,-1.16,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,7,-1.66,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",2,8,-1.96,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,1,-0.056,6.08049407095565,0.0457775102808195,-6.48595222303797,0.464661392022051,0.0750037261765108,0.0421043879995872,5.53519336930386e-05,0.0421043879995872,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,2,-0.156,0.159688519678472,0.445453674215159,-0.170044884954046,0.437715175365493,0.0479146991624425,0.038484262751813,5.03276289204149e-05,0.038484262751813,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,3,-0.256,2.78645242201166,0.0767070199988335,-3.0216353787799,0.426319337390191,0.0795870327859368,0.0286731102472443,5.9846106864982e-05,0.0286731102472443,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,4,-0.556,4.36126876381876,0.0541365092890673,-4.62521940379247,0.330902023181473,0.0769757556470842,0.0319841350551472,5.02686138244143e-05,0.0319841350551472,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,5,-0.956,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,6,-1.156,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,7,-1.656,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",3,8,-1.956,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,1,-0.057,6.08049407095565,0.0457775102808195,-6.48595222303797,0.464661392022051,0.0750037261765108,0.0421043879995872,5.53519336930386e-05,0.0421043879995872,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,2,-0.157,0.159688519678472,0.445453674215159,-0.170044884954046,0.437715175365493,0.0479146991624425,0.038484262751813,5.03276289204149e-05,0.038484262751813,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,3,-0.257,2.78645242201166,0.0767070199988335,-3.0216353787799,0.426319337390191,0.0795870327859368,0.0286731102472443,5.9846106864982e-05,0.0286731102472443,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,4,-0.557,4.36126876381876,0.0541365092890673,-4.62521940379247,0.330902023181473,0.0769757556470842,0.0319841350551472,5.02686138244143e-05,0.0319841350551472,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,5,-0.957,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,6,-1.157,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,7,-1.657,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",4,8,-1.957,0.375492940070029,0.261592465750344,-0.342465126997722,0.211348678846618,0.0506922801182666,0.0204187369845858,4.10115603298693e-05,0.0204187369845858,"n",20100101125959,NA,NA,20200921.145927
1,"BART",5,1,-0.06,6.08049407095565,0.0457775102808195,-6.48595222303797,0.464661392022051,0.0750037261765108,0.0421043879995872,5.53519336930386e-05,0.0421043879995872,"n",20100101125959,NA,NA,20200921.145927
1,"BART",5,2,-0.16,0.159688519678472,0.445453674215159,-0.170044884954046,0.437715175365493,0.0479146991624425,0.038484262751813,5.03276289204149e-05,0.038484262751813,"n",20100101125959,NA,NA,20200921.145927
1,"BART",5,3,-0.26,2.78645242201166,0.0767070199988335,-3.0216353787799,0.426319337390191,0.0795870327859368,0.0286731102472443,5.9846106864982e-05,0.0286731102472443,"n",20100101125959,NA,NA,20200921.145927
1,"BART",5,4,-0.56,4.36126876381876,0.0541365092890673,-4.62521940379247,0.330902023181473,0.0769757556470842,0.0319841350551472,5.02686138244143e-05,0.0319841350551472,"n",20100101125959,NA,NA,20200921.145927
1,"BART",5,5,-0.96,3.45298048448626,0.048470171034511,-3.54169677986535,0.253846595200873,0.0668032982942089,0.0226370950640023,5.59346739488004e-05,0.0226370950640023,"n",20100101125959,NA,NA,20200921.145927
